version,0.022,,,,,,,,,,,,,Lavar,,,,,,,,
Member Label,Member Description,P_Familj,Group Name,Variable Name,Internet link,Latin,P_Storaarter,P_Ris,P_BuskarTrad,P_Barande,P_Habitat_gräsm,P_Habitat_våtm,P_Mossor,P_Lavar,P_H8230,P_Vatten,P_Kalk,P_Dike,P_Kalkhällmark,P_Artrikt,P_Hällmark,P_naturahabitat
Fältmalört,Artemisia campestris,Korgblommiga,SmaProvArt,Faltmalort,https://sv.wikipedia.org/wiki/F%C3%A4ltmal%C3%B6rt,Artemisia campestris,,,,,,,,,,,,,Kalkhällmark,,Hällmark,
Gatkamomill,Matricaria discoidea,Korgblommiga,SmaProvArt,Gatkamomill,https://sv.wikipedia.org/wiki/Gatkamomill,Matricaria discoidea,,,,,,,,,,,,,,,,
Gelélavar,Collema,Lavar,SmaProvArt,Gelelavar,,Collematacae,,,,,,,,Lavar,,,,,,,Hällmark,
Getapel,Rhamnus cathartica,Brakvedsväxter,TradBuskArt,Getapel,https://sv.wikipedia.org/wiki/Getapel,Rhamnus cathartica,,,Buskar,Bärande,,,,,,,,,,,,
Getrams,Polygonatum odoratum,Sparrisväxter,SmaProvArt,Getrams,https://sv.wikipedia.org/wiki/Getrams,Polygonatum odoratum,,,,,,,,,,,,,,,Hällmark,
Getväppling,Anthyllis vulneraria,Ärtväxter,SmaProvArt,Getvappling,https://sv.wikipedia.org/wiki/Getv%C3%A4ppling,Anthyllis vulneraria,,,,,Gräsmark,,,,,,,,Kalkhällmark,Artrikt,,
Glansvide,,Videväxter,TradBuskArt,Glansvide,https://sv.wikipedia.org/wiki/Glansvide,,,,Buskar,,,,,,,,,,,,,
Gran,,Tallväxter,TradBuskArt,Gran,https://sv.wikipedia.org/wiki/Gran,,,,Träd,,,,,,,,,,,,,
Granspira,Pedicularis sylvatica,Snyltrotsväxter,SmaProvArt,Granspira,https://sv.wikipedia.org/wiki/Granspira,Pedicularis sylvatica,,,,,,,,,,,,,,,,
Gren-/brunrör,Calamagrostis phragmitoides/C. canescens,Gräs,SmaProvArt,Gren_brunror,https://sv.wikipedia.org/wiki/Brun-/grenr%C3%B6r,Calamagrostis phragmitoides,Stor art,,,,,,,,,Vatten,,Dike,,,,
Grimmior med hårudd,Grimmia,Mossor,SmaProvArt,Grimmior,https://sv.wikipedia.org/wiki/Grimmior med hårudd,Grimmia,,,,,,,Mossor,,K,,,,,,Hällmark,
Groblad,Plantago major,Grobladsväxter,SmaProvArt,Groblad,https://sv.wikipedia.org/wiki/Groblad,Plantago major,,,,,,,,,,,,,,,,
Grusbräcka,Saxifraga tridactylites,Stenbräckeväxter,SmaProvArt,Grusbracka,https://sv.wikipedia.org/wiki/Grusbr%C3%A4cka,Saxifraga tridactylites,,,,,,,,,T,,,,Kalkhällmark,,Hällmark,
Grå raggmossa,Racomitrium lanuginosum,Mossor,SmaProvArt,Gra_raggmossa,https://sv.wikipedia.org/wiki/Grå raggmossa,Racomitrium lanuginosum,,,,,,,Mossor,,,,,,,,Hällmark,
Grå-/Mattfibbla,Pilosella officinarum,Korgblommiga,SmaProvArt,GraMattfibbla,https://sv.wikipedia.org/wiki/Gråfibbla,Pilosella officinarum,,,,,,,,,K,,,,Kalkhällmark,Artrikt,Hällmark,
Gråal,,Björkväxter,TradBuskArt,Graal,https://sv.wikipedia.org/wiki/Gr%C3%A5al,,,,Träd,,,,,,,,,,,,,
Gråbo,Artemisia vulgaris,Korgblommiga,SmaProvArt,Grabo,https://sv.wikipedia.org/wiki/Gr%C3%A5bo,Artemisia vulgaris,Stor art,,,,,,,,,,,,,,,
Gräshakmossa,Rhytidiadelphus squarrosus,Mossor,SmaProvArt,Grashakmossa,https://sv.wikipedia.org/wiki/Gr%C3%A4shakmossa,Rhytidiadelphus squarrosus,,,,,,,Mossor,,,,,,,,,
Grässtjärnblomma,Stellaria graminea,Nejlikväxter,SmaProvArt,Grasstjarnblomma,https://sv.wikipedia.org/wiki/Gr%C3%A4sstj%C3%A4rnblomma,Stellaria graminea,,,,,,,,,,,,,,,,
Gräsull,,,SmaProvArt,Grasull,,,,,,,Gräsmark,Våtmark,,,,,,,,,,
Gröe-arter övriga,Poa,Gräs,SmaProvArt,Groe_arter_ovriga,https://sv.wikipedia.org/wiki/Gr%C3%B6e-arter %C3%B6vriga,Poa,,,,,,,,,,,,,Kalkhällmark,,,
Grönkulla,,,SmaProvArt,Gronkulla,,,,,,,Gräsmark,,,,,,,,,,,
Gul fetknopp,Sedum acre,Fetbladsväxter,SmaProvArt,Gul_fetknopp,https://sv.wikipedia.org/wiki/Gul_fetknopp,Sedum acre,,,,,,,,,T,,,,Kalkhällmark,Artrikt,Hällmark,
Gul näckros,Nuphar lutea,Näckrosväxter,SmaProvArt,Gul_nackros,https://sv.wikipedia.org/wiki/Gul_n%C3%A4ckros,Nuphar lutea,,,,,,,,,,Vatten,,Dike,,,,
Gul svärdslilja,Iris pseudacorus,Irisväxter,SmaProvArt,Gul_svardslilja,https://sv.wikipedia.org/wiki/sv%C3%A4rdslilja,Iris pseudacorus,Stor art,,,,,,,,,,,,,,,
Gula raggmossor,Racomitrium canescens-gr,Mossor,SmaProvArt,Gula_raggmossor,https://sv.wikipedia.org/wiki/Gula raggmossor,Racomitrium canescens-gr,,,,,,,Mossor,,,,,,,,Hällmark,
Gulkämpar,Plantago maritima,Grobladsväxter,SmaProvArt,Gulkampar,https://sv.wikipedia.org/wiki/Gulk%C3%A4mpar,Plantago maritima,,,,,,,,,,,,,,,,
Gullris,Solidago virgaurea,Korgblommiga,SmaProvArt,Gullris,https://sv.wikipedia.org/wiki/Gullris,Solidago virgaurea,,,,,,,,,,,,,,,,
Gullviva,Primula veris,Viveväxter,SmaProvArt,Gullviva,https://sv.wikipedia.org/wiki/Gullviva,Primula veris,,,,,,,,,,,,,Kalkhällmark,Artrikt,,
Gulmåra,Galium verum,Måreväxter,SmaProvArt,Gulmara,https://sv.wikipedia.org/wiki/Gulm%C3%A5ra,Galium verum,,,,,,,,,,,,,Kalkhällmark,Artrikt,,
Gulsporre,Linaria vulgaris,Grobladsväxter,SmaProvArt,Gulsporre,https://sv.wikipedia.org/wiki/Gulsporre,Linaria vulgaris,,,,,,,,,,,,,Kalkhällmark,,,
Gulvial,Lathyrus pratensis,Ärtväxter,SmaProvArt,Gulvial,https://sv.wikipedia.org/wiki/Gulvial,Lathyrus pratensis,,,,,,,,,,,,,,,,
Gåsört,Argentina anserina,Rosväxter,SmaProvArt,Gasort,https://sv.wikipedia.org/wiki/G%C3%A5s%C3%B6rt,Argentina anserina,,,,,,,,,,,,,,,,
Gäddnate,Potamogeton natans,Nateväxter,SmaProvArt,Gaddnate,https://sv.wikipedia.org/wiki/G%C3%A4ddnate,Potamogeton natans,,,,,,,,,,Vatten,,,,,,
Gökblomster,Lychnis flos-cuculi,Nejlikväxter,SmaProvArt,Gokblomster,https://sv.wikipedia.org/wiki/G%C3%B6kblomster,Lychnis flos-cuculi,,,,,,,,,,,,,,,,
Gökärt,Lathyrus linifolius,Ärtväxter,SmaProvArt,Gokart,https://sv.wikipedia.org/wiki/G%C3%B6k%C3%A4rt,Lathyrus linifolius,,,,,,,,,,,,,,,,
Hagfibblor,Hieracium sect. Vulgata,Korgblommiga,SmaProvArt,Hagfibblor,https://sv.wikipedia.org/wiki/Hagfibblor,Hieracium sect. Vulgata,,,,,,,,,,,,,,,,
Hagtorn,Crataegus,Rosväxter,TradBuskArt,Hagtorn,https://sv.wikipedia.org/wiki/Hagtorn,Crataegus,,,Buskar,Bärande,,,,,,,,,,,,
Hallon,Rubus idaeus,Rosväxter,TradBuskArt,Hallon,https://sv.wikipedia.org/wiki/Hallon,Rubus idaeus,,,Buskar,Bärande,,,,,,,,,,,,
Harklöver,Trifolium arvense,Ärtväxter,SmaProvArt,Harklover,https://sv.wikipedia.org/wiki/Harkl%C3%B6ver,Trifolium arvense,,,,,,,,,K,,,,,Artrikt,Hällmark,
Harkål,Lapsana communis,Korgblommiga,SmaProvArt,Harkal,https://sv.wikipedia.org/wiki/Hark%C3%A5l,Lapsana communis,,,,,,,,,,,,,,,,
Harmynta,Clinopodium acinos,Kransblommiga,SmaProvArt,Harmynta,https://sv.wikipedia.org/wiki/Harmynta,Clinopodium acinos,,,,,,,,,,,,,Kalkhällmark,,Hällmark,
Harris,,Ärtväxter,TradBuskArt,Harris,https://sv.wikipedia.org/wiki/Harris,,,,Buskar,,,,,,,,,,,,,
Harsyra,Oxalis acetosella,Harsyreväxter,SmaProvArt,Harsyra,https://sv.wikipedia.org/wiki/Harsyra,Oxalis acetosella,,,,,,,,,,,,,,,,
Hassel,Corylus avellana,Björkväxter,TradBuskArt,Hassel,https://sv.wikipedia.org/wiki/Hassel,Corylus avellana,,,Buskar,Bärande,,,,,,,,,,,,
Havssälting,Triglochin maritimum,Sältingväxter,SmaProvArt,Havssalting,https://sv.wikipedia.org/wiki/Havss%C3%A4lting,Triglochin maritimum,,,,,,,,,,,,,,,,
Havtorn,Hippophaë rhamnoides,Havtornsväxter,TradBuskArt,Havtorn,https://sv.wikipedia.org/wiki/Havtorn,Hippophaë rhamnoides,,,Buskar,Bärande,,,,,,,,,,,,
Hedlavar,Cetraria aculeata/muricata,Lavar,SmaProvArt,Hedlavar,https://www.dyntaxa.se/Taxon/Info/1007862,Cetraria aculeata/muricata,,,,,,,,Lavar,,,,,,,Hällmark,
Hedsäv,Trichophorum cespitosum subsp. germanicum,Halvgräs,SmaProvArt,Hedsav,https://sv.wikipedia.org/wiki/Heds%C3%A4v,Trichophorum cespitosum subsp. germanicum,,,,,,,,,,,,,,,,
Hirsstarr,Carex panicea,Halvgräs,SmaProvArt,Hirsstarr,https://sv.wikipedia.org/wiki/Hirsstarr,Carex panicea,,,,,,,,,,,,,Kalkhällmark,,,
Hjortron,Rubus chamaemorus,Rosväxter,SmaProvArt,Hjortron,https://sv.wikipedia.org/wiki/Hjortron,Rubus chamaemorus,,,,,,,,,,,,,,,,
Humleblomster,Geum rivale,Rosväxter,SmaProvArt,Humleblomster,https://sv.wikipedia.org/wiki/Humleblomster,Geum rivale,,,,,,,,,,,,,,,,
Humlelucern,Medicago lupulina,Ärtväxter,SmaProvArt,Humlelucern,https://sv.wikipedia.org/wiki/Humlelucern,Medicago lupulina,,,,,,,,,,,,,,,,
Hundkäx,Anthriscus sylvestris,Flockblommiga,SmaProvArt,Hundkax,https://sv.wikipedia.org/wiki/Hundk%C3%A4x,Anthriscus sylvestris,Stor art,,,,,,,,,,,,,,,
Hundstarr,Carex nigra,Halvgräs,SmaProvArt,Hundstarr,https://sv.wikipedia.org/wiki/Hundstarr,Carex nigra,,,,,,,,,,,,,,,,
Hundäxing,Dactylis glomerata,Gräs,SmaProvArt,Hundaxing,https://sv.wikipedia.org/wiki/Hund%C3%A4xing,Dactylis glomerata,,,,,,,,,,,,,Kalkhällmark,,,
Husmossa,Hylocomium splendens,Mossor,SmaProvArt,Husmossa,https://sv.wikipedia.org/wiki/Husmossa,Hylocomium splendens,,,,,,,Mossor,,,,,,,,Hällmark,
Hårbjörnmossa,Polytrichum piliferum,Mossor,SmaProvArt,Harbjornmossa,https://sv.wikipedia.org/wiki/H%C3%A5rbj%C3%B6rnmossa,Polytrichum piliferum,,,,,,,Mossor,,,,,,,,Hällmark,
Hårnervmossa,Campylopus introflexus,Mossor,SmaProvArt,Harnervmossa,https://sv.wikipedia.org/wiki/H%C3%A5rnervmossa,Campylopus introflexus,,,,,,,Mossor,,,,,,,,Hällmark,
Hårstarr,,Halvgräs,SmaProvArt,Harstarr,,,,,,,Gräsmark,Våtmark,,,,,,,,,,
Häckvicker,Vicia sepium,Ärtväxter,SmaProvArt,Hackvicker,https://sv.wikipedia.org/wiki/H%C3%A4ckvicker,Vicia sepium,,,,,,,,,,,,,,,,
Hägg,Prunus padus,Rosväxter,TradBuskArt,Hagg,https://sv.wikipedia.org/wiki/H%C3%A4gg,Prunus padus,,,Träd,Bärande,,,,,,,,,,,,
Häggmisplar,Amelanchier,Rosväxter,TradBuskArt,Haggmisplar,https://sv.wikipedia.org/wiki/H%C3%A4ggmisplar,Amelanchier,,,Buskar,Bärande,,,,,,,,,,,,
Hästhov,Tussilago farfara,Korgblommiga,SmaProvArt,Hasthov,https://sv.wikipedia.org/wiki/H%C3%A4sthov,Tussilago farfara,,,,,,,,,,,,,,,,
Hästkastanj,Aesculus hippocastanum,Kinesträdsväxter,TradBuskArt,Hastkastanj,https://sv.wikipedia.org/wiki/H%C3%A4stkastanj,Aesculus hippocastanum,,,Träd,,,,,,,,,,,,,
Hönsarv,Cerastium fontanum,Nejlikväxter,SmaProvArt,Honsarv,https://sv.wikipedia.org/wiki/H%C3%B6nsarv,Cerastium fontanum,,,,,,,,,,,,,,,,
Höstfibbla,Scorzoneroides autumnalis,Korgblommiga,SmaProvArt,Hostfibbla,https://sv.wikipedia.org/wiki/H%C3%B6stfibbla,Scorzoneroides autumnalis,,,,,,,,,,,,,,,,
Idegran,Taxus baccata,Idegransväxter,TradBuskArt,Idegran,https://sv.wikipedia.org/wiki/Idegran,Taxus baccata,,,Träd,Bärande,,,,,,,,,,,,
Islandslavar,Cetraria islandica/ericetorum m.fl.,Lavar,SmaProvArt,Islandslavar,http://artfakta.artdatabanken.se/taxon/228548,Cetraria islandica/ericetorum m.fl.,,,,,,,,Lavar,,,,,,,Hällmark,
Jordreva,Glechoma hederacea,Kransblommiga,SmaProvArt,Jordreva,https://sv.wikipedia.org/wiki/Jordreva,Glechoma hederacea,,,,,,,,,,,,,,,,
Jordtistel,Cirsium acaule,,SmaProvArt,Jordtistel,,,,,,,Gräsmark,,,,,,,,Kalkhällmark,,,
Jungfru M nycklar,Dactylorhiza maculata subsp. maculata,Orkideer,SmaProvArt,Jungfru_Marie_nycklar,https://sv.wikipedia.org/wiki/Fl%C3%A4cknycklar,Dactylorhiza maculata subsp. maculata,,,,,,,,,,,,,,,,
Jungfrulin,Polygala vulgaris,Jungfrulinsväxter,SmaProvArt,Jungfrulin,https://sv.wikipedia.org/wiki/Jungfrulin,Polygala vulgaris,,,,,,,,,,,,,Kalkhällmark,Artrikt,,
Jättebalsamin,Impatiens glandulifera,Balsaminväxter,SmaProvArt,Jattebalsamin,https://sv.wikipedia.org/wiki/J%C3%A4ttebalsamin,Impatiens glandulifera,Stor art,,,,,,,,,,,,,,,
Jättegröe,Glyceria maxima,Gräs,SmaProvArt,Jattegroe,https://sv.wikipedia.org/wiki/J%C3%A4ttegr%C3%B6e,Glyceria maxima,Stor art,,,,,,,,,Vatten,,Dike,,,,
Jätteloka,Heracleum mantegazzianum,Flockblommiga,SmaProvArt,Jatteloka,https://sv.wikipedia.org/wiki/J%C3%A4tteloka,Heracleum mantegazzianum,Stor art,,,,,,,,,,,,,,,
Jätteslide,Reynoutria sachalinensis,Slideväxter,SmaProvArt,Jatteslide,https://sv.wikipedia.org/wiki/J%C3%A4tteslide,Reynoutria sachalinensis,Stor art,,,,,,,,,,,,,,,
Kabbleka,Caltha palustris,Ranunkelväxter,SmaProvArt,Kabbleka,https://sv.wikipedia.org/wiki/Kabbleka,Caltha palustris,,,,,,,,,,Vatten,,Dike,,,,
Kakmossa,Hedwigia ciliata,Mossor,SmaProvArt,Kakmossa,https://sv.wikipedia.org/wiki/Kakmossa,Hedwigia ciliata,,,,,,,Mossor,,,,,,,,Hällmark,
Kanad. gullris,Solidago canadensis,Korgblommiga,SmaProvArt,Kanadensiskt_gullris,https://sv.wikipedia.org/wiki/Kanadensiskt_gullris,Solidago canadensis,Stor art,,,,,,,,,,,,,,,
Kantig fetknopp,Sedum sexangulare,Fetbladsväxter,SmaProvArt,Kantig_fetknopp,https://sv.wikipedia.org/wiki/Kantig_fetknopp,Sedum sexangulare,,,,,Gräsmark,,,,T,,,,Kalkhällmark,,Hällmark,
Kaprifol/vildk.,Lonicera caprifolium/L. periclymenum,Kaprifolväxter,TradBuskArt,Kaprifol,https://sv.wikipedia.org/wiki/Kaprifol/vildkaprifol,Lonicera caprifolium/L. periclymenum,,,Buskar,Bärande,,,,,,,,,,,,
Kardborre-arter,Arctium spp.,Korgblommiga,SmaProvArt,Kardborre_arter,https://sv.wikipedia.org/wiki/Kardborre-arter,Arctium spp.,,,,,,,,,,,,,,,,
Kattfot,Antennaria dioica,Korgblommiga,SmaProvArt,Kattfot,https://sv.wikipedia.org/wiki/Kattfot,Antennaria dioica,,,,,,,,,T,,,,Kalkhällmark,Artrikt,,
Kaveldun(-ar),Typha latifolia/T. angustifolia,Halvgräs,SmaProvArt,Kaveldun,https://sv.wikipedia.org/wiki/Kaveldun,Typha latifolia/T. angustifolia,Stor art,,,,,,,,,Vatten,,Dike,,,,
Kirskål,Aegopodium podagraria,Flockblommiga,SmaProvArt,Kirskal,https://sv.wikipedia.org/wiki/Kirsk%C3%A5l,Aegopodium podagraria,Stor art,,,,,,,,,,,,,,,
Klasefibbla,Crepis praemorsa,Korgblommiga,SmaProvArt,Klasefibbla,https://sv.wikipedia.org/wiki/Klasefibbla,Crepis praemorsa,,,,,Gräsmark,,,,,,,,,,,
Klibbal,,Björkväxter,TradBuskArt,Klibbal,https://sv.wikipedia.org/wiki/Klibbal,,,,Träd,,,,,,,,,,,,,
Klockgentiana,Gentiana pneumonanthe,Gentianaväxter,SmaProvArt,Klockgentiana,https://sv.wikipedia.org/wiki/Klockgentiana,Gentiana pneumonanthe,,,,,,,,,,,,,,,,
Klockljung,Erica tetralix,Ljungväxter,SmaProvArt,Klockljung,https://sv.wikipedia.org/wiki/Klockljung,Erica tetralix,,,,,,,,,,,,,,,,
Klockmossor,Encalypta,Mossor,SmaProvArt,Klockmossor,https://sv.wikipedia.org/wiki/Klockmossor,Encalypta,,,,,,,Mossor,,,,,,,,Hällmark,
Klätt,Agrostemma githago,Nejlikväxter,SmaProvArt,Klatt,https://sv.wikipedia.org/wiki/Klätt,Agrostemma githago,,,,,,,,,,,,,,Artrikt,,
Knagglestarr-gruppen,,,SmaProvArt,Knagglestarr_gruppen,,,,,,,Gräsmark,Våtmark,,,,,,,,,,
Knapptåg,Juncus conglomeratus,Tågväxter,SmaProvArt,Knapptag,http://linnaeus.nrm.se/flora/mono/junca/juncu/junccon.html,Juncus conglomeratus,Stor art,,,,,,,,,Vatten,,Dike,,,,
Knipp-/ängsfryle,Luzula campestris/L. multiflora,Tågväxter,SmaProvArt,Knipp_angsfryle,https://sv.wikipedia.org/wiki/Knipp-/%C3%A4ngsfryle,Luzula campestris/L. multiflora,,,,,,,,,,,,,Kalkhällmark,,,
Knoppvitmossa,Sphagnum teres,Mossor,SmaProvArt,Knoppvitmossa,https://sv.wikipedia.org/wiki/Knoppvitmossa,Sphagnum teres,,,,,,,Mossor,,,,,,,,,
Knylhavre,Arrhenatherum elatius,Gräs,SmaProvArt,Knylhavre,https://sv.wikipedia.org/wiki/Knylhavre,Arrhenatherum elatius,Stor art,,,,,,,,,,,,Kalkhällmark,,,
Knägräs,Danthonia decumbens,Gräs,SmaProvArt,Knagras,https://sv.wikipedia.org/wiki/Kn%C3%A4gr%C3%A4s,Danthonia decumbens,,,,,,,,,,,,,Kalkhällmark,,Hällmark,
Knölsmörblomma,Ranunculus bulbosus,Ranunkelväxter,SmaProvArt,Knolsmorblomma,https://sv.wikipedia.org/wiki/Kn%C3%B6lsm%C3%B6rblomma,Ranunculus bulbosus,,,,,,,,,K,,,,Kalkhällmark,,,
Knölsyska,Stachys palustris,Kransblommiga,SmaProvArt,Knolsyska,https://sv.wikipedia.org/wiki/Kn%C3%B6lsyska,Stachys palustris,,,,,,,,,,,,,,,,
Kopparbryum,Bryum alpinum,Mossor,SmaProvArt,Kopparbryum,https://sv.wikipedia.org/wiki/Kopparbryum,Bryum alpinum,,,,,,,Mossor,,,,,,,,Hällmark,
Korvskorpionmossa,Scorpidium scorpioides,Mossor,SmaProvArt,Korvskorpionmossa,https://sv.wikipedia.org/wiki/Korvskorpionmossa,Scorpidium scorpioides,,,,,,Våtmark,Mossor,,,,,,Kalkhällmark,,,
Kranshakmossa,Rhytidiadelphus triquetrus,Mossor,SmaProvArt,Kranshakmossa,https://sv.wikipedia.org/wiki/Kranshakmossa,Rhytidiadelphus triquetrus,,,,,,,Mossor,,,,,,,,Hällmark,
Krusbär,Ribes uva-crispa,Rosväxter,TradBuskArt,Krusbar,https://sv.wikipedia.org/wiki/Krusb%C3%A4r,Ribes uva-crispa,,,Buskar,Bärande,,,,,,,,,,,,
Krustistel,Carduus crispus,Korgblommiga,SmaProvArt,Krustistel,https://sv.wikipedia.org/wiki/Krustistel,Carduus crispus,,,,,,,,,,,,,,,,
Kruståtel,Avenella flexuosa,Gräs,SmaProvArt,Krustatel,https://sv.wikipedia.org/wiki/Krust%C3%A5tel,Avenella flexuosa,,,,,,,,,,,,,Kalkhällmark,,,
Krypnarv,Sagina procumbens,Nejlikväxter,SmaProvArt,Krypnarv,https://sv.wikipedia.org/wiki/Krypnarv,Sagina procumbens,,,,,,,,,,,,,,,,
Kråkbär,Empetrum nigrum,Ljungväxter,SmaProvArt,Krakbar,https://sv.wikipedia.org/wiki/Kr%C3%A5kb%C3%A4r,Empetrum nigrum,,,,,,,,,,,,,,,,
Kråkklöver,Comarum palustre,Rosväxter,SmaProvArt,Krakklover,https://sv.wikipedia.org/wiki/Kr%C3%A5kkl%C3%B6ver,Comarum palustre,,,,,,,,,,,,,,,,
Kråkvicker,Vicia cracca,Ärtväxter,SmaProvArt,Krakvicker,https://sv.wikipedia.org/wiki/Kr%C3%A5kvicker,Vicia cracca,,,,,,,,,,,,,,,,
Kummin,Carum carvi,Flockblommiga,SmaProvArt,Kummin,https://sv.wikipedia.org/wiki/Kummin,Carum carvi,,,,,,,,,,,,,,,,
Kvastmossor,Dicranum,Mossor,SmaProvArt,Kvastmossor,https://sv.wikipedia.org/wiki/Kvastmossor,Dicranum,,,,,,,Mossor,,,,,,,,,
Kvickrot,Elytrigia repens,Gräs,SmaProvArt,Kvickrot,https://sv.wikipedia.org/wiki/Kvickrot,Elytrigia repens,,,,,,,,,,,,,,,,
Käringtand,Lotus corniculatus,Ärtväxter,SmaProvArt,Karingtand,https://sv.wikipedia.org/wiki/K%C3%A4ringtand,Lotus corniculatus,,,,,,,,,,,,,Kalkhällmark,Artrikt,,
Kärleksört,Hylotelephium telephium,Fetbladsväxter,SmaProvArt,Karleksort,https://sv.wikipedia.org/wiki/K%C3%A4rleks%C3%B6rt,Hylotelephium telephium,,,,,,,,,K,,,,Kalkhällmark,Artrikt,Hällmark,
Kärrfräken,Equisetum palustre,Fräkenväxter,SmaProvArt,Karrfraken,https://sv.wikipedia.org/wiki/K%C3%A4rrfr%C3%A4ken,Equisetum palustre,,,,,,,,,,,,,,,,
Kärrknipprot,,okänd,SmaProvArt,Karrknipprot,,,,,,,Gräsmark,Våtmark,,,,,,,,,,
Kärrsilja,Peucedanum palustre,Flockblommiga,SmaProvArt,Karrsilja,https://sv.wikipedia.org/wiki/K%C3%A4rrsilja,Peucedanum palustre,,,,,,,,,,,,,,,,
Kärrspira,Pedicularis palustris,Snyltrotsväxter,SmaProvArt,Karrspira,https://sv.wikipedia.org/wiki/K%C3%A4rrspira,Pedicularis palustris,,,,,,,,,,,,,,,,
Kärrsälting,Triglochin palustre,Sältingväxter,SmaProvArt,Karrsalting,https://sv.wikipedia.org/wiki/K%C3%A4rrs%C3%A4lting,Triglochin palustre,,,,,,,,,,,,,,,,
Kärrtistel,Cirsium palustre,Korgblommiga,SmaProvArt,Karrtistel,https://sv.wikipedia.org/wiki/K%C3%A4rrtistel,Cirsium palustre,,,,,,,,,,,,,,,,
Kärrviol,Viola palustris,Violväxter,SmaProvArt,Karrviol,https://sv.wikipedia.org/wiki/K%C3%A4rrviol,Viola palustris,,,,,,,,,,,,,,,,
Liguster,,Syrenväxter,TradBuskArt,Liguster,https://sv.wikipedia.org/wiki/Liguster,,,,Buskar,,,,,,,,,,,,,
Liljekonvalj,Convallaria majalis,Sparrisväxter,SmaProvArt,Liljekonvalj,https://sv.wikipedia.org/wiki/Liljekonvalj,Convallaria majalis,,,,,,,,,,,,,,,,
Lindar,Tilia,Malvaväxter,TradBuskArt,Lindar,https://sv.wikipedia.org/wiki/Lindar,Tilia,,,Träd,,,,,,,,,,,,,
Lingon,Vaccinium vitis-idaea,Ljungväxter,SmaProvArt,Lingon,https://sv.wikipedia.org/wiki/Lingon,Vaccinium vitis-idaea,,Ris,,,,,,,,,,,,,,
Liten blåklocka,Campanula rotundifolia subsp. rotundifolia,Klockväxter,SmaProvArt,Liten_blaklocka,https://sv.wikipedia.org/wiki/Liten_bl%C3%A5klocka,Campanula rotundifolia subsp. rotundifolia,,,,,,,,,,,,,Kalkhällmark,Artrikt,Hällmark,
Liten fetknopp,Sedum annuum,Fetbladsväxter,SmaProvArt,Liten_fetknopp,https://sv.wikipedia.org/wiki/Liten_fetknopp,Sedum annuum,,,,,,,,,T,,,,Kalkhällmark,,Hällmark,
Ljung,Calluna vulgaris,Ljungväxter,SmaProvArt,Ljung,https://sv.wikipedia.org/wiki/Ljung,Calluna vulgaris,,Ris,,,,,,,,,,,Kalkhällmark,,,
Ludd-/lentåtel,Holcus lanatus/H. mollis,Gräs,SmaProvArt,Ludd_lentatel,https://sv.wikipedia.org/wiki/Ludd-/lent%C3%A5tel,Holcus lanatus/H. mollis,,,,,,,,,,,,,,,,
Luddhavre,Avenula pubescens,Gräs,SmaProvArt,Luddhavre,https://sv.wikipedia.org/wiki/Luddhavre,Avenula pubescens,,,,,,,,,,,,,,,,
Luddlosta,Bromus hordeaceus subsp. hordeaceus,Gräs,SmaProvArt,Luddlosta,https://sv.wikipedia.org/wiki/Luddlosta,Bromus hordeaceus subsp. hordeaceus,,,,,,,,,,,,,,,Hällmark,
Lundgröe,Poa nemoralis,Gräs,SmaProvArt,Lundgroe,https://sv.wikipedia.org/wiki/Lundgr%C3%B6e,Poa nemoralis,,,,,,,,,,,,,,,,
Lundtrav,,,SmaProvArt,Lundtrav,,,,,,,Gräsmark,,,,,,,,,,,
"Låga, dött träd",,-,TradBuskArt,Dott_trad,https://sv.wikipedia.org/wiki/L%C3%A5ga,,,,Träd,,,,,,,,,,,,,
Lånke-arter,Callitriche spp.,Lånkeväxter,SmaProvArt,Lanke_arter,https://sv.wikipedia.org/wiki/L%C3%A5nke-arter,Callitriche spp.,,,,,,,,,,Vatten,,Dike,,,,
Lärk,,Tallväxter,TradBuskArt,Lark,https://sv.wikipedia.org/wiki/L%C3%A4rk,,,,Träd,,,,,,,,,,,,,
Lönn,Acer platanoides,Kinesträdsväxter,TradBuskArt,Lonn,https://sv.wikipedia.org/wiki/L%C3%B6nn,Acer platanoides,,,Träd,,,,,,,,,,,,,
Majbräken,Athyrium filix-femina,Majbräkenväxter,SmaProvArt,Majbraken,https://sv.wikipedia.org/wiki/Majbr%C3%A4ken,Athyrium filix-femina,Stor art,,,,,,,,,,,,,,,
Majsmörblomma,Ranunculus auricomus,Ranunkelväxter,SmaProvArt,Majsmorblomma,https://sv.wikipedia.org/wiki/Majsm%C3%B6rblomma,Ranunculus auricomus,,,,,,,,,,,,,,,,
Majveronika,Veronica serpyllifolia,Grobladsväxter,SmaProvArt,Majveronika,https://sv.wikipedia.org/wiki/Majveronika,Veronica serpyllifolia,,,,,,,,,,,,,,,,
Mandelblom,Saxifraga granulata,Stenbräckeväxter,SmaProvArt,Mandelblom,https://sv.wikipedia.org/wiki/Mandelblom,Saxifraga granulata,,,,,,,,,K,,,,Kalkhällmark,,Hällmark,
Mannagräs,Glyceria fluitans,Gräs,SmaProvArt,Mannagras,https://sv.wikipedia.org/wiki/Mannagr%C3%A4s,Glyceria fluitans,,,,,,,,,,,,,,,,
